OBJECTID,DistrictCode
1,64246
2,64246
3,64246
4,64246
5,64246
6,64246
7,64246
8,64246
9,65136
10,65136
11,75309
12,65136
13,65136
14,73957
15,64659
16,64733
17,64279
18,64394
19,64568
20,64881
21,67652
22,64329
23,64469
24,64576
25,64337
26,64790
27,64261
28,64683
29,64964
30,64287
31,65052
32,65029
33,75291
34,64378
35,64980
36,64311
37,64436
38,64311
39,64519
40,75713
41,64907
42,65094
43,64519
44,75713
45,64519
46,64295
47,73460
48,73445
49,64808
50,64980
51,64519
52,73452
53,65128
54,64444
55,64527
56,64634
57,65128
58,65128
59,64766
60,64451
61,65128
62,65128
63,64352
64,64766
65,64774
66,64535
67,64352
68,64352
69,73437
70,64840
71,64873
72,64303
73,64352
74,75333
75,64212
76,75341
77,65060
78,64725
79,64600
80,64873
81,64865
82,64725
