DistrictCode,Source,PoliceInSchools,RandomSearch,Notes,DistrictName
64246,https://www.antelopevalleyhs.org/about/safety-message,yes,yes,https://laist.com/news/criminal-justice/antelope-valley-schools-sheriffs-deputies-discipline-black-teens-bear-the-brunt,Antelope Valley Union High
65136,https://www.hartdistrict.org/apps/pages/school-safety,yes,unknown,Partner with Los Angeles County Sheriff’s Department to provide School Resource Officers (SROs) to the District,William S. Hart Union High
75309,https://www.aadusd.k12.ca.us/domain/341,unknown,unknown,,Acton-Agua Dulce Unified
73957,https://www.snowlineschools.com/apps/pages/police,yes,unknown,,Snowline Joint Unified
64659,https://www.lcusd.net/apps/pages/index.jsp?uREC_ID=328730&type=d&pREC_ID=1385876,unknown,unknown,,La Canada Unified
64733,https://achieve.lausd.net/laspd,yes,yes,LA School Police Department,Los Angeles Unified
64279,https://www.azusa.org/,unknown,unknown,No specific page on website,Azusa Unified
64394,https://claremont-ca.schoolloop.com/pf4/cms2/view_page?d=x&group_id=1516177776201&vdid=i195d1rito2uf,unknown,unknown,,Claremont Unified
64568,https://www.gusd.net/domain/3584,unknown,unknown,,Glendale Unified
64881,https://www.pusd.us/Page/3168,unknown,unknown,,Pasadena Unified
67652,https://cjuhsd.net/apps/pages/index.jsp?uREC_ID=1762902&type=d&pREC_ID=1946758,yes,unknown,,Chaffey Joint Union High
64329,https://do.bonita.k12.ca.us/index.html,unknown,unknown,No specific page on website,Bonita Unified
64469,https://www.duarteusd.org/,unknown,unknown,No specific page on website,Duarte Unified
64576,https://www.glendora.k12.ca.us/apps/pages/index.jsp?uREC_ID=1440153&type=d&pREC_ID=1806318,yes,unknown,"We have two School Resource Officers (SROs) in GUSD. The SROs, who are officers of the Glendora Police Department (GPD), form relationships with students, provide intervention to assist students and assist staff with difficult situations.",Glendora Unified
64337,https://www.burbankusd.org/Page/1069,yes,yes,random searches on pause due to COVID-19,Burbank Unified
64790,https://www.monroviaschools.net/,unknown,unknown,No specific page on website,Monrovia Unified
64261,https://www.ausd.net/apps/pages/safetypreparedness,unknown,unknown,,Arcadia Unified
64683,https://www.lvusd.org/domain/1132,unknown,unknown,,Las Virgenes Unified
64964,https://www.smusd.us/apps/pages/index.jsp?uREC_ID=1529964&type=d&pREC_ID=1594264,unknown,unknown,The High School has a designated Campus Security Officer on site to provide full-time on-site and patrol security. The San Marino Police Department visit the school campuses on a regular basis.,San Marino Unified
64287,https://www.bpusd.net/,unknown,unknown,No specific page on website,Baldwin Park Unified
65052,https://www.tcusd.net/health-and-safety,unknown,unknown,,Temple City Unified
