IYEAR,LOCATION_LATITUDE,LOCATION_LONGITUDE,UNINTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,TOTAL_DAMAGE_COSTS,COSTPAID_ofTOTAL
2016,34.6428,-118.7169,20,20,0,1000,75000,250000,469000,0,794000,0
2014,34.044058,-118.441362,15,12,0,300,175000,38000,19200,0,232200,0
2012,33.90593,-118.42132,2.9,2.9,0,0,25000,20000,0,0,45000,0
2021,34.00564,-118.3705,18,18,0,140,0,6500,0,0,6500,0
2013,33.949629,-118.370221,10,5,0,1000,96278,2861558,130033,18256,3106125,0
2014,34.0577675,-118.360143,0.12,0,500,25,150000,20000,0,15000,185000,0.002702703
2017,33.806566,-118.329863,5.5,5.5,8000,635,60000,175000,10000,0,245000,0.032653061
2011,33.84735,-118.31848,41,41,0,4100,10000,5000,0,10000,25000,0
2017,33.847426,-118.318086,0.7,0,0,30,0,2000,2500,0,4500,0
2012,33.902032,-118.313486,20,0,20000,0,285000,200000,180000,495000,1160000,0.017241379
2019,33.808255,-118.299813,11.02,11.02,0,0,30,12502,0,0,12532,0
2011,33.81583,-118.29701,35,35,1465,3066,35128,65227,91754,0,192109,0.007625879
2021,33.804229,-118.28371,1,1,0,68,29537,49606,0,0,79143,0
2019,33.818819,-118.281047,7.8,7.8,0,0,0,45000,0,120000,165000,0
2014,34.146191,-118.272341,331,331,1390480,5100,200000,1419000,75000,0,1694000,0.820826446
2016,33.734846,-118.272297,0.12,0.12,0,0,600,0,0,0,600,0
2015,33.734846,-118.272297,15,15,0,560,14500,12508,50892,0,77900,0
2013,33.736385,-118.271949,1.3,1.3,0,50,500,2000,7900,0,10400,0
2010,33.735001,-118.27167,2,2,0,130,0,13245,0,5000,18245,0
2014,33.787864,-118.269456,39,39,30000,900,25000,300000,45000,0,370000,0.081081081
2014,33.800211,-118.255721,186,186,0,0,24822,41270,0,0,66092,0
2014,33.803335,-118.254678,225,225,0,1200,50000,25000,200000,5000,280000,0
2010,33.80933,-118.25413,1,1,0,75000,0,1000000,3500000,0,4500000,0
2016,33.80313,-118.252843,15,15,0,675,191869,175000,14980,0,381849,0
2011,33.846624,-118.252704,1,1,0,0,160000,50000,40000,0,250000,0
2021,30.84063889,-118.2511111,0.1,0,0,50,70000,0,0,0,70000,0
2018,33.8424197,-118.2501552,0.1,0.1,0,150000,800000,320000,0,100000,1220000,0
2012,33.802717,-118.249779,2,0,0,200,75000,38000,15000,0,128000,0
2012,33.841119,-118.246558,45,45,0,0,50000,4000,0,0,54000,0
2018,33.78269,-118.24431,2,2,7000,0,0,62000,0,0,62000,0.112903226
2011,34.0522342,-118.2436849,0.5,0.5,0,50,0,12000,0,61000,73000,0
2020,33.802777,-118.2411666,0.75,0.75,5000,0,0,0,5000,0,5000,1
2012,33.80197,-118.23844,4.5,4.5,0,0,0,5000,10000,0,15000,0
2011,33.7966,-118.2347,0.24,0.24,0,40,0,250,0,0,250,0
2010,33.7963,-118.2347,17,12,0,530,0,3000,1000,4000,8000,0
2012,33.8000022,-118.233913,19.6,19.6,0,2118,10700,50000,10500,20000,91200,0
2019,33.845716,-118.233877,0.1,0.1,0,6,200000,3000,0,0,203000,0
2021,33.803663,-118.233568,3.48,3.48,0,235,100,65030,0,0,65130,0
2019,33.845853,-118.233501,23.9,23,0,1965,80000,9000,10000,0,99000,0
2018,33.846217,-118.233236,0.2,0.2,0,16,100,500,0,0,600,0
2020,33.846325,-118.233203,0.7,0.7,0,31,7385,6634,0,0,14019,0
2019,33.84543,-118.232953,2.76,2.76,0,302,50000,0,0,0,50000,0
2017,33.846507,-118.232718,213,213,0,13777,94636,19555,1401692,0,1515883,0
2019,33.846439,-118.232547,0.3,0.3,0,26,100,1000,0,0,1100,0
2012,33.84494,-118.232432,6.71,6.71,0,962,50,12000,3000,0,15050,0
2018,33.801639,-118.23209,0.1,0.1,0,3,84000,2751,0,0,86751,0
2021,33.845105,-118.230477,22.8,22.8,0,1643,425000,0,5500,0,430500,0
2021,33.845486,-118.23015,70,70,0,6175,450000,10000,0,0,460000,0
2021,33.8,-118.23,18.7,18.7,0,1146,67000,6446,0,0,73446,0
2013,33.806255,-118.229308,130,130,0,16380,1010700,0,1880000,0,2890700,0
2020,33.76428,-118.22888,30,30,0,0,6000,12000,0,0,18000,0
2012,33.764,-118.228,0.5,0.5,0,50,20000,5000,0,0,25000,0
2021,33.764578,-118.227986,4.6,4.6,0,0,2000,21000,0,0,23000,0
2014,33.806917,-118.227056,989,600,0,49014,0,150986,0,0,150986,0
2020,33.86127,-118.22533,7,6.7,0,40,12000,10000,0,0,22000,0
2015,33.771038,-118.225012,70,70,0,3500,6000,6000,0,0,12000,0
2020,33.859242,-118.224038,6,6,0,60,0,22000,10000,0,32000,0
2020,33.862366,-118.223699,0.5,0.5,0,0,0,10000,0,0,10000,0
2012,33.86206,-118.22369,3,3,0,0,144000,101000,0,0,245000,0
2018,33.862523,-118.223255,0.83,0.83,0,0,5000,5000,0,0,10000,0
2015,33.804707,-118.222597,264,56,0,27720,0,0,267152,0,267152,0
2011,33.78114,-118.22177,0.6,0.6,0,100,1500,3000,0,0,4500,0
2019,33.8045274,-118.2210989,1,1,0,0,95500,30000,10000,0,135500,0
2016,33.863326,-118.216752,173,173,0,0,7400,44100,0,0,51500,0
2013,33.8630556,-118.2166667,0.6,0.6,0,60,0,38000,0,0,38000,0
2020,33.77584,-118.21545,2.66,2.05,0,160,10827,8285,0,0,19112,0
