AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Expulsions,Unduplicated Count of Students Expelled (Total),Unduplicated Count of Students Expelled (Defiance-Only),Expulsion Rate (Total),Expulsion Count Violent Incident (Injury),Expulsion Count Violent Incident (No Injury),Expulsion Count Weapons Possession,Expulsion Count Illicit Drug-Related,Expulsion Count Defiance-Only,Expulsion Count Other Reasons
2019-20,S,19,64212,1995596,Los Angeles,ABC Unified,ABC Secondary (Alternative),No ,TA,120,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6010862,Los Angeles,ABC Unified,Aloha Elementary,No ,TA,362,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,1930361,Los Angeles,ABC Unified,Artesia High,No ,TA,1525,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6071369,Los Angeles,ABC Unified,Bragg Elementary,No ,TA,687,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6010953,Los Angeles,ABC Unified,Burbank (Luther) Elementary,No ,TA,544,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6066708,Los Angeles,ABC Unified,Carmenita Middle,No ,TA,706,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6010904,Los Angeles,ABC Unified,Carver (Charles J.) Elementary,No ,TA,620,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6068274,Los Angeles,ABC Unified,Cerritos Elementary,No ,TA,684,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,1930056,Los Angeles,ABC Unified,Cerritos High,No ,TA,2259,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,0,Los Angeles,ABC Unified,District Office,No ,TA,53,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6010987,Los Angeles,ABC Unified,Elliott (William F) Elementary,No ,TA,536,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6061238,Los Angeles,ABC Unified,Fedde (Pharis F.) Middle,No ,TA,435,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6010979,Los Angeles,ABC Unified,Furgeson (Venn W.) Elementary,No ,TA,367,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,1933159,Los Angeles,ABC Unified,Gahr (Richard) High,No ,TA,2015,0,0,0,0,0,0,0,0,0,0
2019-20,S,19,64212,6085617,Los Angeles,ABC Unified,Gonsalves (Joe A.) Elementary,No ,TA,653,0,0,0,0,0,0,0,0,0,0
