CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
19101990000000,0691078,No Data,Active,Los Angeles,Los Angeles County Office of Education,No Data,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2890,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2890,CA,(562) 922-6111,No Data,(562) 922-6768,No Data,http://www.lacoe.edu,No Data,No Data,No Data,No Data,No Data,00,County Office of Education (COE),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.916978,-118.12860,Debra,Duardo,duardo_debra@lacoe.edu,4/2/2019
19101990100776,0691078,11339,Active,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,12105 Allegheny Street,12105 Allegheny St.,Sun Valley,91352,CA,"8309 Laurel Canyon Boulevard, #295","8309 Laurel Canyon Blvd., #295",Sun Valley,91352,CA,(818) 368-1557,No Data,(818) 368-1935,info@novamil.org,http://novamil.org,9/2/2003,No Data,Y,0540,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,C,N,N,0601564,34.234622,-118.39656,Mark,Ryan,mryan@novamil.org,8/13/2020
19101990102145,0691078,11343,Closed,Los Angeles,Los Angeles County Office of Education,Progressive Education Entrepreneurial Charter,2600 South LaBrea Avenue,2600 South LaBrea Ave.,Los Angeles,90016,CA,2600 S. La Brea Avenue,2600 S. La Brea Ave.,Los Angeles,90016,CA,No Data,No Data,No Data,No Data,No Data,9/22/2003,10/15/2004,Y,0595,Directly funded,00,County Office of Education (COE),66,High Schools (Public),No Data,No Data,ELEMHIGH,Elementary-High Combination,6-12,6-10,No Data,No Data,Y,No Data,No Data,No Data,No Data,No Data,No Data,1/30/2009
19101990106880,0691078,10853,Active,Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,"1400 S Broadway Los Angeles, CA 90015","1400 S Broadway Los Angeles, CA 90015",Los Angeles,90015-2209,CA,"1400 S Broadway Los Angeles, CA 90015","1400 S Broadway Los Angeles, CA 90015",Los Angeles,90015,CA,(213) 614-1745,No Data,(213) 614-2046,No Data,No Data,9/1/2004,No Data,Y,0663,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-1,K-1,N,N,N,0602019,34.035321,-118.26241,Zuzy,Chavez,jardindelainfancia@me.com,8/31/2021
19101990109660,0691078,10891,Active,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,6100 Carmelita Avenue,6100 Carmelita Ave.,Huntington Park,90255-4138,CA,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,(323) 585-1153,No Data,(323) 585-1283,data-contact@aspirepublicschools.org,http://www.aspirepublicschools.org,9/6/2005,No Data,Y,0694,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-5,N,N,N,0601821,33.984203,-118.19659,Dawn,Barnes,data-contact@aspirepublicschools.org,12/30/2020
19101990109918,0691078,10894,Closed,Los Angeles,Los Angeles County Office of Education,Opportunities Unlimited Charter High,5100 South Broadway Avenue,5100 South Broadway Ave.,Los Angeles,90037,CA,5100 South Broadway Avenue,5100 South Broadway Ave.,Los Angeles,90037,CA,No Data,No Data,No Data,ajm@opportunitiesunlimitedchs.org,Information Not Available,9/6/2005,6/30/2014,Y,0737,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,8-12,No Data,No Data,N,No Data,33.996155,-118.27794,No Data,No Data,No Data,7/24/2014
19101990112128,0691078,11655,Active,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,2540 East 58th Street,2540 East 58th St.,Huntington Park,90255-2659,CA,2540 East 58th Street,2540 East 58th St.,Huntington Park,90255-2659,CA,(323) 277-2901,No Data,(323) 587-3978,data-contact@aspirepublicschools.org,http://www.aspirepublicschools.org,9/11/2006,No Data,Y,0693,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,N,0601857,33.990154,-118.22653,Joel,Ramirez,data-contact@aspirepublicschools.org,8/13/2020
19101990112730,0691078,11974,Closed,Los Angeles,Los Angeles County Office of Education,Wisdom Academy for Young Scientists,706 East Manchester Avenue,706 East Manchester Ave.,Los Angeles,90001-3633,CA,706 East Manchester Avenue,706 East Manchester Ave.,Los Angeles,90001-3633,CA,No Data,No Data,No Data,wisdomacademy4ys@yahoo.com,Information Not Available,9/12/2006,5/29/2015,Y,0839,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.959940,-118.26269,No Data,No Data,No Data,12/16/2015
19101990115030,0691078,12010,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,1254 East Helmick Street,1254 East Helmick St.,Carson,90746-3164,CA,1254 East Helmick Street,1254 East Helmick St.,Carson,90746-3164,CA,(310) 637-3806,No Data,(310) 933-4767,No Data,http://msa3.magnoliapublicschools.org,9/3/2008,No Data,Y,0917,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,N,0602194,33.851607,-118.24957,Zekeriya,Ocel,zocel@magnoliapublicschools.org,8/13/2020
19101990115212,0691078,11842,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,17125 Victory Boulevard,17125 Victory Blvd.,Van Nuys,91406-5455,CA,17125 Victory Boulevard,17125 Victory Blvd.,Van Nuys,91406-5455,CA,(818) 758-0300,No Data,(818) 758-0333,No Data,http://msa2.magnoliapublicschools.org,9/5/2007,No Data,Y,0906,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,C,N,N,0602319,34.186690,-118.50542,David,Garner,dgarner@magnoliapublicschools.org,8/13/2020
