LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
Chanchorena,1,Plugged,OG,Oil & Gas,S1375,Steven A. Sayce,33.593762,-118.023328
Lease by San Pedro-Point Fermin Oil & Gas Co.,1,Plugged,DH,Dry Hole,7633,San Pedro-Point Fermin Oil & Gas Co.,33.70533752,-118.2939682
Lease by Lighthouse Oil Co.,1,Idle,OG,Oil & Gas,9707,Lighthouse Oil Co.,33.708696,-118.29148
Lease by Los Angeles Harbor Oil Dev. Co.,1,Idle,OG,Oil & Gas,5421,Los Angeles Harbor Oil Dev. Co.,33.71640015,-118.3025436
Sepulveda,1,Plugged,DH,Dry Hole,8166,"Surety Holding Co., Ltd.",33.72180176,-118.326088
Sepulveda,1,Plugged,DH,Dry Hole,5297,Lesco Oil Corp.,33.72677612,-118.3323212
Sepulveda,1,Idle,OG,Oil & Gas,7289,Richard T. Grady,33.72979736,-118.3214645
S-P La Harbor,301,Plugged,DH,Dry Hole,C5640,Chevron U.S.A. Inc.,33.73212433,-118.2637177
Palos Verdes,1,Plugged,DH,Dry Hole,5839,McVicar Rood and Cole Co.,33.73389053,-118.3548889
Lease by Dodson Oil Co.,1,Plugged,DH,Dry Hole,2176,Dodson Oil Co.,33.73427582,-118.3181381
Lease by San Pedro Oil Co.,1,Idle,OG,Oil & Gas,7632,San Pedro Oil Co.,33.73530197,-118.3188019
Lease by Newton Dev. Co.,1,Plugged,DH,Dry Hole,6257,Newton Dev. Co.,33.73792648,-118.3994598
South Torrance Unit,C-104,Plugged,OG,Oil & Gas,M6900,Mobil Oil Corporation,33.74080658,-118.1392593
Lease by Tidelands Oil Production Co.,SJ-3,Idle,WS,Water Source,T2975,Tidelands Oil Production Co.,33.74101257,-118.1917801
Lease by Tidelands Oil Production Co.,FL-515,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74114227,-118.1916885
Lease by Tidelands Oil Production Co.,FL-514,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74115372,-118.1916733
Lease by Tidelands Oil Production Co.,FL-513,Plugged,Multi,Multi-Purpose,T2975,Tidelands Oil Production Co.,33.74116516,-118.191658
Lease by Tidelands Oil Production Co.,FL-512,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74117661,-118.1916428
Lease by Tidelands Oil Production Co.,FL-511,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74118805,-118.1916275
Lease by Tidelands Oil Production Co.,L 510,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74119949,-118.1916199
Lease by Tidelands Oil Production Co.,L 508,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74122238,-118.1915894
Lease by Tidelands Oil Production Co.,L 507,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74123764,-118.1915741
Lease by Tidelands Oil Production Co.,L 506,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74124908,-118.1915588
Lease by Tidelands Oil Production Co.,L 505,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74127579,-118.1915283
Lease by Tidelands Oil Production Co.,L 504,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74128723,-118.1915131
