FIPS,Area Name,Census Tract,Total Population:,Total: White,Total: Black,Total: AmerIndian,Total: Asian,Total: Hawaiian and PacIslander,Total: Other,Total: Mixed,% Total: White,% Total: Black,% Total: AmerIndian,% Total: Asian,% Total: Hawaiian and PacIslander,% Total: Other,% Total: Mixed,Total: Not Hispanic or Latino,Total: Hispanic or Latino,% Total: Not Hispanic or Latino,% Total: Hispanic or Latino
6037101110,Census Tract 1011.10,101110,4283,3347,19,3,331,3,391,189,78.15,0.44,0.07,7.73,0.07,9.13,4.41,3095,1188,72.26,27.74
6037101122,Census Tract 1011.22,101122,3405,2981,74,15,220,0,48,67,87.55,2.17,0.44,6.46,0,1.41,1.97,3258,147,95.68,4.32
6037101210,Census Tract 1012.10,101210,6347,4647,198,0,486,0,921,95,73.22,3.12,0,7.66,0,14.51,1.5,3731,2616,58.78,41.22
6037101220,Census Tract 1012.20,101220,3702,2634,87,0,341,0,497,143,71.15,2.35,0,9.21,0,13.43,3.86,2338,1364,63.16,36.84
6037101300,Census Tract 1013,101300,3884,3350,205,0,194,0,45,90,86.25,5.28,0,4.99,0,1.16,2.32,3587,297,92.35,7.65
6037101400,Census Tract 1014,101400,3458,2671,17,60,434,0,132,144,77.24,0.49,1.74,12.55,0,3.82,4.16,2867,591,82.91,17.09
6037102103,Census Tract 1021.03,102103,1763,1349,25,0,224,0,55,110,76.52,1.42,0,12.71,0,3.12,6.24,1408,355,79.86,20.14
6037102104,Census Tract 1021.04,102104,3721,2985,79,3,364,8,63,219,80.22,2.12,0.08,9.78,0.21,1.69,5.89,3209,512,86.24,13.76
6037102105,Census Tract 1021.05,102105,1905,1252,18,24,124,4,380,103,65.72,0.94,1.26,6.51,0.21,19.95,5.41,622,1283,32.65,67.35
6037102107,Census Tract 1021.07,102107,4349,3344,69,6,398,0,394,138,76.89,1.59,0.14,9.15,0,9.06,3.17,3154,1195,72.52,27.48
6037103101,Census Tract 1031.01,103101,2428,1989,18,0,208,0,94,119,81.92,0.74,0,8.57,0,3.87,4.9,2032,396,83.69,16.31
6037103102,Census Tract 1031.02,103102,4734,3523,0,0,589,0,441,181,74.42,0,0,12.44,0,9.32,3.82,3412,1322,72.07,27.93
6037103200,Census Tract 1032,103200,6349,5502,105,0,437,0,132,173,86.66,1.65,0,6.88,0,2.08,2.72,4598,1751,72.42,27.58
6037103300,Census Tract 1033,103300,3781,3125,12,45,271,0,51,277,82.65,0.32,1.19,7.17,0,1.35,7.33,3378,403,89.34,10.66
6037103400,Census Tract 1034,103400,6416,4605,154,114,1050,0,299,194,71.77,2.4,1.78,16.37,0,4.66,3.02,4843,1573,75.48,24.52
6037104103,Census Tract 1041.03,104103,3431,2357,431,12,199,7,385,40,68.7,12.56,0.35,5.8,0.2,11.22,1.17,1030,2401,30.02,69.98
